index,Activos Sin Vencido,Clientes Z,Clientes Generados,Nunca +15,Nunca 0-15,Quebrantados,Saldados +15,Saldados 0-15,Sin Datos,Vencidos +4,Vencidos 1,Vencidos 2,Vencidos 3,Total General,Total Clientes
Activos Sin Vencido,,,,,,,,,,,,,,,
ene-16,232,0,0,0,0,0,0,13,0,0,23,0,0,269," 8,508,650 "
feb-16,215,0,0,0,0,0,0,18,0,0,24,12,0,269," 8,198,018 "
mar-16,202,0,0,0,0,1,0,21,0,0,23,14,8,269," 7,944,814 "
abr-16,194,0,0,0,0,1,0,24,0,6,22,13,10,269," 7,832,823 "
may-16,186,0,0,0,0,1,0,27,0,13,21,12,9,269," 7,713,975 "
jun-16,179,0,0,0,0,1,0,29,0,18,21,12,9,269," 7,547,303 "
jul-16,173,0,0,0,0,2,0,30,0,23,20,12,9,269," 7,445,332 "
ago-16,168,0,0,0,0,2,0,32,0,27,19,11,8,269," 7,343,988 "
sep-16,162,0,0,0,0,3,0,34,0,31,20,11,9,269," 7,107,284 "
oct-16,158,0,0,0,0,3,0,35,0,34,19,11,8,269," 6,981,061 "
nov-16,155,0,0,0,0,4,0,36,0,36,18,11,8,269," 6,947,893 "
dic-16,160,0,0,0,0,6,0,36,0,37,14,9,7,269," 7,233,726 "
ene-17,207,0,0,0,0,0,0,14,0,0,21,0,0,242," 8,242,156 "
feb-17,192,0,0,0,0,0,0,18,0,0,22,10,0,242," 7,979,544 "
mar-17,181,0,0,0,0,0,0,21,0,0,20,12,7,242," 7,755,381 "
abr-17,174,0,0,0,0,0,0,23,0,5,19,11,8,242," 7,700,439 "
may-17,168,0,0,0,0,1,0,26,0,11,18,10,8,242," 7,596,024 "
jun-17,162,0,0,0,0,1,0,28,0,15,18,10,7,242," 7,446,246 "
jul-17,157,0,0,0,0,1,0,29,0,19,17,10,7,242," 7,366,996 "
ago-17,152,0,0,0,0,1,0,30,0,23,17,10,7,242," 7,262,837 "
sep-17,146,0,0,0,0,2,0,32,0,26,18,10,8,242," 7,033,125 "
oct-17,143,0,0,0,0,2,0,32,0,29,17,10,8,242," 6,949,053 "
nov-17,142,0,0,0,0,3,0,32,0,31,16,10,8,242," 6,955,158 "
dic-17,147,0,0,0,0,4,0,32,0,32,12,8,7,242," 7,273,941 "
ene-18,194,0,0,0,0,0,0,13,0,0,19,0,0,225," 8,150,542 "
